Turn,Dead,Infected,Recovered,Vaccinated,Cured,Total_Population,Mortality Rate,Infection Rate,Recovery Rate,Vaccination Rate,Cured Rate,Male,Female,Smoker,Non-Smoker,Pre-Existing Conditions,No Pre-Existing Conditions,Active,Sedentary,Moderate
1,163,303,0,22,57,220,0.740909090909091,1.3772727272727272,0.0,0.1,0.2590909090909091,119,101,112,108,111,109,69,70,81
2,3,12,26,7,6,46,0.06521739130434782,0.2608695652173913,0.5652173913043478,0.15217391304347827,0.13043478260869565,22,24,23,23,25,21,10,25,11
3,0,1,34,1,1,59,0.0,0.01694915254237288,0.576271186440678,0.01694915254237288,0.01694915254237288,32,27,26,33,26,33,19,18,22
4,0,0,2,0,1,6,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,3,3,2,4,4,2,2,2,2
5,0,0,11,23,10,60,0.0,0.0,0.18333333333333332,0.38333333333333336,0.16666666666666666,32,28,35,25,35,25,22,16,22
6,0,0,2,0,1,6,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,3,3,1,5,4,2,5,1,0
7,0,0,2,0,1,6,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,5,1,3,3,3,3,0,3,3
8,28,20,0,10,13,42,0.6666666666666666,0.47619047619047616,0.0,0.23809523809523808,0.30952380952380953,18,24,24,18,26,16,11,19,12
9,0,0,2,0,1,6,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,2,4,2,4,4,2,0,4,2
10,0,0,2,0,1,6,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,5,1,2,4,4,2,3,1,2
11,0,0,2,0,1,6,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,4,2,2,4,2,4,1,2,3
12,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,4,2,4,2,3,3,1,3,2
13,0,0,2,3,1,6,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,5,1,4,2,3,3,3,3,0
14,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,4,2,4,2,2,4,3,1,2
15,0,0,2,5,1,6,0.0,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,5,1,3,3,1,5,2,2,2
16,2,0,8,29,1,30,0.06666666666666667,0.0,0.26666666666666666,0.9666666666666667,0.03333333333333333,12,18,16,14,17,13,12,10,8
17,0,0,2,2,1,6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,3,3,6,0,3,3,2,2,2
18,0,0,2,3,1,6,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,2,4,3,3,5,1,2,3,1
19,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,3,3,6,0,2,4,2,1,3
20,0,0,2,3,1,6,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,3,3,2,4,3,3,2,2,2
21,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,4,2,2,4,4,2,1,4,1
22,0,0,2,2,1,6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,4,2,4,2,2,4,2,1,3
23,0,0,2,1,1,6,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,3,3,3,3,2,4,1,1,4
24,0,0,2,2,1,6,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,2,4,1,5,5,1,1,5,0
25,0,0,2,3,1,6,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,4,2,2,4,3,3,1,4,1
26,0,0,2,3,1,6,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,4,2,4,2,3,3,1,3,2
27,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,2,4,4,2,3,3,1,2,3
28,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,3,3,5,1,4,2,4,0,2
29,0,0,2,3,1,6,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,3,3,2,4,2,4,0,3,3
30,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,3,3,3,3,3,3,4,1,1
31,0,0,2,3,1,6,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,3,3,4,2,4,2,2,2,2
32,0,0,2,5,1,6,0.0,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,3,3,2,4,5,1,4,1,1
33,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,4,2,4,2,2,4,1,1,4
34,1,0,1,3,1,6,0.16666666666666666,0.0,0.16666666666666666,0.5,0.16666666666666666,4,2,4,2,2,4,4,2,0
35,0,0,2,5,1,6,0.0,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,2,4,3,3,3,3,1,2,3
36,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,4,2,5,1,3,3,3,2,1
37,0,0,1,4,2,6,0.0,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333,3,3,4,2,5,1,2,3,1
38,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,4,2,3,3,2,4,1,1,4
39,0,0,2,5,1,6,0.0,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,3,3,5,1,3,3,2,1,3
40,0,0,2,5,1,6,0.0,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,3,3,3,3,3,3,3,3,0
41,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,2,4,2,4,4,2,1,4,1
42,0,0,2,4,1,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.16666666666666666,1,5,4,2,2,4,2,0,4
43,50,93,110,28,18,178,0.2808988764044944,0.5224719101123596,0.6179775280898876,0.15730337078651685,0.10112359550561797,90,88,83,95,90,88,57,53,68
44,11,52,100,0,5,121,0.09090909090909091,0.4297520661157025,0.8264462809917356,0.0,0.04132231404958678,64,57,67,54,57,64,34,39,48
45,0,0,7,0,1,12,0.0,0.0,0.5833333333333334,0.0,0.08333333333333333,7,5,7,5,4,8,7,3,2
46,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,1,0,1,0,0,0,1
47,0,0,10,0,1,10,0.0,0.0,1.0,0.0,0.1,4,6,3,7,5,5,2,4,4
48,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,1,0,0,1,0,1,0
49,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0,1,0,1,0,1,0,1,0
